"Date","Price","Open","High","Low","Vol.","Change %"
"01-10-2024","84,266.29","84,257.17","84,648.40","84,098.94","6.05M","-0.04%"
"30-09-2024","84,299.78","85,208.76","85,359.65","84,257.14","10.95M","-1.49%"
"27-09-2024","85,571.85","85,893.84","85,978.25","85,474.58","9.36M","-0.31%"
"26-09-2024","85,836.12","85,167.56","85,930.43","85,106.74","9.14M","0.78%"
"25-09-2024","85,169.87","84,836.45","85,247.42","84,743.04","13.52M","0.30%"
"24-09-2024","84,914.04","84,860.73","85,163.23","84,716.07","8.73M","-0.02%"
"23-09-2024","84,928.61","84,651.15","84,980.53","84,607.38","11.12M","0.45%"
"20-09-2024","84,544.31","83,603.04","84,694.46","83,187.64","28.72M","1.63%"
"19-09-2024","83,184.80","83,359.17","83,773.61","83,071.66","6.63M","0.29%"
"18-09-2024","82,948.23","83,037.13","83,326.38","82,700.63","5.08M","-0.16%"
"17-09-2024","83,079.66","83,084.63","83,152.41","82,866.68","9.83M","0.11%"
"16-09-2024","82,988.78","82,985.33","83,184.34","82,832.82","6.86M","0.12%"
"13-09-2024","82,890.94","83,091.55","83,092.93","82,653.22","12.72M","-0.09%"
"12-09-2024","82,962.71","81,930.18","83,116.19","81,534.29","8.35M","1.77%"
"11-09-2024","81,523.16","81,928.12","82,134.95","81,423.14","7.83M","-0.49%"
"10-09-2024","81,921.29","81,768.72","82,196.55","81,445.30","5.58M","0.44%"
"09-09-2024","81,559.54","80,973.75","81,653.36","80,895.05","7.83M","0.46%"
"06-09-2024","81,183.93","82,171.08","82,254.79","80,981.93","14.54M","-1.24%"
"05-09-2024","82,201.16","82,469.79","82,617.49","82,130.44","6.96M","-0.18%"
"04-09-2024","82,352.64","81,845.50","82,408.54","81,833.69","9.05M","-0.25%"
"03-09-2024","82,555.44","82,652.69","82,675.06","82,400.76","4.32M","-0.01%"
"02-09-2024","82,559.84","82,725.28","82,725.28","82,440.93","9.50M","0.24%"